,idtramo,transito (vh/h),des_tramo,coordinates,color
37,A147,1980,MAESTRO RODRIGO,"[[-0.4017742024, 39.4833800084], [-0.3985760518, 39.4789056494]]","(255, 165, 0)"
38,A148,604,"MALILLA, CARRERA","[[-0.37847689700000003, 39.4558026849], [-0.37806425530000004, 39.4552151816], [-0.3803303785, 39.4457576365]]","(255, 165, 0)"
39,A149,60,"MALILLA, CARRERA","[[-0.3803303785, 39.4457576365], [-0.37975725650000003, 39.4438709344], [-0.3817630051, 39.437430281]]","(0, 255, 0)"
40,A15,1836,ALCALDE REIG,"[[-0.36086970700000004, 39.463204911], [-0.36043768400000004, 39.462093199], [-0.3582493176, 39.4587951238]]","(255, 165, 0)"
41,A150,255,"MALVARROSA, AVENIDA","[[-0.3280625814, 39.4790727712], [-0.3280915896, 39.4765646988], [-0.3278219174, 39.4765628219], [-0.32782831770000004, 39.476009167]]","(0, 255, 0)"
42,A19,330,ANGEL GUIMERA,"[[-0.3850318051, 39.4703385614], [-0.38341917070000003, 39.4703958195]]","(0, 255, 0)"
43,A190,2556,PERIS Y VALERO,"[[-0.3708736662, 39.4589841223], [-0.3655394629, 39.4612348582]]","(255, 0, 0)"
44,A193,4986,PIO XII,"[[-0.3929441698, 39.4814242683], [-0.3960877914, 39.4858276211]]","(255, 0, 0)"
45,A206,1098,"PUERTO, AVENIDA DEL","[[-0.3327251029, 39.4600839244], [-0.3386535938, 39.4618165315]]","(255, 165, 0)"
46,A207,872,"PUERTO, AVENIDA DEL","[[-0.3386535938, 39.4618165315], [-0.35128015, 39.4655053912]]","(255, 165, 0)"
47,A225,1635,SAN VICENTE,"[[-0.38746704600000004, 39.4433784852], [-0.3864004317, 39.4463699911]]","(255, 165, 0)"
48,A226,1296,SAN VICENTE,"[[-0.3797992995, 39.4682360543], [-0.3814270877, 39.4661180353], [-0.3815792958, 39.4655001451]]","(255, 165, 0)"
49,A227,1,SAN VICENTE,"[[-0.3864004317, 39.4463699911], [-0.3855230543, 39.4488305539], [-0.3849329345, 39.4509303812], [-0.3834852721, 39.4577615712]]","(0, 255, 0)"
